number_of_steps,episode_number,won,algorithm,state,Q_value_state
12,0,0,standard,,
14,1,0,standard,,
6,2,0,standard,5,0.0
4,3,0,standard,,
12,4,0,standard,,
2,5,0,standard,5,0.0
2,6,0,standard,5,0.0
5,7,0,standard,,
2,8,0,standard,5,0.0
5,9,0,standard,,
2,10,0,standard,,
6,11,0,standard,5,0.0
3,12,0,standard,,
8,13,0,standard,,
14,14,0,standard,,
11,15,0,standard,,
6,16,0,standard,,
4,17,0,standard,,
2,18,0,standard,,
4,19,0,standard,5,0.0
3,20,0,standard,5,0.0
6,21,0,standard,,
4,22,0,standard,5,0.0
5,23,0,standard,,
2,24,0,standard,,
4,25,0,standard,,
5,26,0,standard,,
8,27,0,standard,,
10,28,0,standard,5,0.0
2,29,0,standard,,
14,30,0,standard,,
6,31,0,standard,,
14,32,0,standard,,
5,33,0,standard,,
30,34,0,standard,,
2,35,0,standard,5,0.0
12,36,0,standard,,
7,37,0,standard,,
12,38,0,standard,,
3,39,0,standard,5,0.0
7,40,0,standard,,
3,41,0,standard,,
4,42,0,standard,,
4,43,0,standard,5,0.0
8,44,0,standard,,
12,45,0,standard,,
2,46,0,standard,5,0.0
10,47,0,standard,,
6,48,0,standard,,
15,49,0,standard,,
2,50,0,standard,5,0.0
4,51,0,standard,,
3,52,0,standard,,
2,53,0,standard,,
11,54,0,standard,,
20,55,0,standard,,
5,56,0,standard,,
7,57,0,standard,,
4,58,0,standard,,
10,59,0,standard,5,0.0
9,60,0,standard,,
4,61,0,standard,,
8,62,0,standard,,
12,63,0,standard,,
6,64,0,standard,,
2,65,0,standard,,
5,66,0,standard,,
4,67,0,standard,,
20,68,0,standard,,
4,69,0,standard,,
4,70,0,standard,5,0.0
10,71,0,standard,,
12,72,1,standard,,
10,73,0,standard,5,0.0
10,74,0,standard,5,0.0
16,75,0,standard,,
2,76,0,standard,5,0.0
3,77,0,standard,5,0.0
8,78,0,standard,,
6,79,0,standard,,
11,80,1,standard,,
6,81,0,standard,5,0.0
2,82,0,standard,5,0.0
13,83,0,standard,5,0.0
2,84,0,standard,5,0.0
20,85,0,standard,,
5,86,0,standard,,
3,87,0,standard,5,0.0
8,88,0,standard,,
4,89,0,standard,,
4,90,0,standard,,
6,91,0,standard,,
2,92,0,standard,,
12,93,0,standard,,
2,94,0,standard,5,0.0
18,95,0,standard,,
9,96,0,standard,,
6,97,0,standard,5,0.0
11,98,0,standard,,
10,99,0,standard,5,0.0
6,100,0,standard,,
33,101,0,standard,,
5,102,0,standard,,
7,103,0,standard,,
8,104,0,standard,,
9,105,0,standard,,
8,106,0,standard,,
4,107,0,standard,,
6,108,0,standard,,
9,109,0,standard,,
5,110,0,standard,,
2,111,0,standard,,
3,112,0,standard,,
3,113,0,standard,,
2,114,0,standard,,
4,115,0,standard,5,0.00012184929080123092
3,116,0,standard,,
9,117,0,standard,,
3,118,0,standard,5,0.00010966436172110783
11,119,0,standard,,
7,120,0,standard,,
8,121,0,standard,5,0.00021992751334284688
16,122,0,standard,5,0.00019793476200856219
2,123,0,standard,,
8,124,0,standard,,
14,125,0,standard,,
15,126,1,standard,,
13,127,0,standard,5,0.0002872128098023178
12,128,0,standard,,
9,129,0,standard,5,0.0
2,130,0,standard,,
2,131,0,standard,,
11,132,0,standard,,
2,133,0,standard,,
4,134,0,standard,,
6,135,0,standard,,
14,136,0,standard,,
19,137,0,standard,5,0.0026840711577599996
23,138,0,standard,,
9,139,0,standard,,
19,140,0,standard,,
10,141,0,standard,5,0.000915981238216283
5,142,0,standard,,
3,143,0,standard,,
3,144,0,standard,,
11,145,0,standard,5,0.0024156640419839997
4,146,0,standard,5,0.0006025251962864446
4,147,0,standard,,
4,148,0,standard,,
5,149,0,standard,,
4,150,0,standard,,
11,151,0,standard,,
9,152,0,standard,,
10,153,0,standard,,
2,154,0,standard,,
2,155,0,standard,,
5,156,0,standard,,
9,157,0,standard,,
8,158,0,standard,5,0.0013598041218352138
4,159,0,standard,5,0.0008419494612592063
15,160,0,standard,,
14,161,0,standard,,
